ID	Index	Answer	Opt1	Opt2	Opt3	Opt4	Question	HideInHuaDeng	TimeFrame
2	q1	1	10个	12个	3个	5个	玩家可加入的门派有几个？	0	
3	q2	3	A键	Tab键	F键	~键	按什么键可以自动战斗？		
4	q3	2	1个	5个	7个	3个	逍遥江湖一共有多少个城市？		
5	q4	1	在小地图上点鼠标左键可以自动寻路	在聊天框内输入想到达的坐标	按Tab键自动到达		怎样可以自动寻路?		
6	q5	1	按住Ctrl然后右键点击另一个玩家，选择"组队"	在聊天框内输入“邀请组队”	双击想邀请的玩家		如何邀请玩家组队?		
7	q6	1	按住Ctrl然后右键点击另一个玩家，选择"组队"	在聊天框内输入“邀请组队”	双击想邀请的玩家		如何邀请玩家组队?		
8	q7	1	按住Ctrl然后右键点击另一个是队长的玩家，选择"入队"	在聊天框内输入“入队”	双击在队伍中的玩家		如何加入队伍?		
9	q8	1	打开组队界面，点击离开队伍按钮	在聊天框内输入“退队”	双击队长		如何退出队伍?		
10	q9	1	只有队伍的队长可以	队伍里的每个成员都可以	队伍里级别最高的人才可以		谁可以踢人出队伍?		
11	q10	1	按住Ctrl然后右键点击另一个玩家，选择"好友"	在聊天框内输入“好友+玩家名字”	双击想加为好友的玩家		如何加别人为好友		
12	q11	1	按住Ctrl然后右键点击另一个玩家，选择"好友"	在聊天框内输入“好友+玩家名字”	双击想加为好友的玩家		如何加别人为好友		
13	q12	1	在好友界面右键点击玩家名字后弹出交互界面	在聊天框内输入“好友+玩家名字”	在好友界面双击好友名字		如何在好友界面进行交互操作?		
14	q13	1	在好友界面右键点击玩家名字后弹出交互界面	在聊天框内输入“好友+玩家名字”	在好友界面双击好友名字		如何在好友界面进行交互操作?		
15	q14	1	按住Ctrl然后右键点击另一个玩家，选择"交易"	在聊天框内输入“交易+玩家名字”	双击想交易的人物		和其他人交易的快捷键是什么?		
16	q15	1	查看任务界面里的可接任务	查看世界地图	找NPC寻问		如何知道当前等级还能接什么任务？		
17	q16	1	查看任务界面里的可接任务	查看世界地图	找NPC寻问		如何知道当前等级还能接什么任务？		
18	q17	1	小头像下面的《练功模式》按钮	Ctrl+5	按M键		如何切换练级模式？		
19	q18	1	木	土	水		五行相克中，金克什么？		
20	q19	1	五毒	唐门	逍遥		以下哪个门派不是《逍遥江湖》里的		
21	q20	1	水	木	土		五行相生中，金生什么？		
22	q21	1	土	金	木		昆仑派是什么五行的？		
23	q22	1	木	土	水		逍遥派是什么五行的？		
24	q23	1	在背包中点击拆分按钮后点物品	Shift+鼠标右键	F1		如何拆分物品		
25	q24	1	木	土	水		五行相克中，金克什么？		
26	q25	1	水	木	土		五行相生中，金生什么？		
27	q26	1	土	金	木		昆仑派是什么五行的？		
28	q27	1	木	土	水		逍遥派是什么五行的？		
29	q28	1	金	木	土		少林派是什么五行的？		
30	q29	1	金	火	土		天王帮是什么五行的？		
31	q30	1	木	土	水		华山派是什么五行的？		
32	q31	1	火	金	毒		唐门是什么五行的？		
33	q32	1	水	木	土		桃花岛是什么五行的？		
34	q33	1	土	金	木		武当派是什么五行的？		
35	q34	1	水	木	火		峨嵋派是什么五行的？		
36	q35	1	火	金	土		丐帮是什么五行的？		
37	q36	1	沙忆蓉	洛兰柔	凌若雪		以下哪位不是江湖四仙子？		
38	q37	1	沙羽飞	萧如是	叶浩		以下哪位不是江湖四公子？		
39	q38	1	澹台若铁	谭迁	展飞檐		以下哪位是江湖四大恶人？		
40	q39	1	拍卖行	珍宝阁	杂货店		城市里出售的豪宅可以从哪里买下？		
41	q40	1	剑	枪	刀		昆仑派使用何种武器？		
42	q41	1	枪	剑	鞭子		逍遥派使用何种武器？		
43	q42	1	棍	枪	空手		少林派使用何种武器？		
44	q43	1	枪	棍	刀		天王帮使用何种武器？		
45	q44	1	剑	枪	刀		华山派使用何种武器？		
46	q45	1	弩	空手	枪		唐门使用何种武器？		
47	q46	1	弩	剑	刀		桃花岛使用何种武器？		
48	q47	1	剑	枪	刀		武当派使用何种武器？		
49	q48	1	剑	枪	刀		峨嵋派使用何种武器？		
50	q49	1	棍	枪	葫芦		丐帮使用何种武器？		
51	q50	1	玩家在里面拍卖物品	玩家从NPC手里购买物品	NPC从玩家手里回收物品		拍卖行是干什么用的？		
52	q51	1	玩家在里面拍卖物品	玩家从NPC手里购买物品	NPC从玩家手里回收物品		拍卖行是干什么用的？		
53	q52	1	家族	帮会	社团		单人玩家可以加入何种组织和其他玩家一起游戏？		
54	q53	1	10件	4件	6件		装备系统包含武器、防具、首饰等一共多少件基础装备？		
55	q54	1	50	60	70		达到多少级才可以加入家族？		
56	q55	2	可以	等级不到50级，不可以			等级只有30级，可以加入家族吗？		
57	q56	3	衣服	护腕	护身符		以下哪种装备不属于防具类		
58	q57	3	帽子	腰带	玉佩		以下哪种装备不属于防具类		
59	q58	3	鞋子	衣服	戒指		以下哪种装备不属于防具类		
60	q59	3	腰带	衣服	项链		以下哪种装备不属于防具类		
61	q60	3	护腕	衣服	项链		以下哪种装备不属于防具类		
62	q61	3	项链	戒指	帽子		以下哪种装备不属于首饰类		
63	q62	3	项链	玉佩	衣服		以下哪种装备不属于首饰类		
64	q63	3	项链	护身符	腰带		以下哪种装备不属于首饰类		
65	q64	3	戒指	玉佩	护腕		以下哪种装备不属于首饰类		
66	q65	3	戒指	护身符	鞋子		以下哪种装备不属于首饰类		
67	q66	3	剑	枪	鞭子		哪种武器，玩家不能使用？		
68	q67	3	棍	弩	石头		哪种武器，玩家不能使用？		
69	q68	1	不能	能			男角色可以穿女性的衣服吗？		
70	q69	1	不能	能			女角色可以穿男性的衣服吗？		
71	q70	1	2次	3次	4次		每天可以参加多少次普通秘境？		
72	q71	1	任意时间	每天上午	每天下午		每天什么时候可以参加普通秘境？		
73	q72	1	各大城市秘境管理员处	各大城市叶浩处	各大城市礼官处		在何处进行普通秘境报名？		
74	q73	1	觉远	玄石	慧如		以下哪位是少林大师兄？		
75	q74	1	项达	项瑛	项子丘		以下哪位是天王大师兄？		
76	q75	1	叶凌霄	月沐夕	木三		以下哪位是逍遥大师兄？		
77	q76	1	花无错	马宏	陈飞扬		以下哪位是华山大师兄？		
78	q77	1	宋甫	汪南松	苏越		以下哪位是武当大师兄？		
79	q78	1	萧如是	李归尘	玉璇子		以下哪位是昆仑大师兄？		
80	q79	1	静空	文慧	妙如		以下哪位是峨嵋大师姐？		
81	q80	1	洛兰柔	凌若雪	梁语晴		以下哪位是桃花岛大师姐？		
82	q81	1	施烽艺	吴晓松	齐大全		以下哪位是丐帮大师兄？		
83	q82	1	唐白羽	唐墨嫣	唐落影		以下哪位是唐门大师姐？		
84	q83	2	可以	不可以			灵石碎片可以直接镶嵌在装备上吗？		
85	q84	1	1个	2个	3个		灵石碎片加工为灵石，需要消耗几个加工卷轴？		
86	q85	2	是	不是			灵石·唐婉和灵石·吴昊天是同一类型的灵石吗？		
87	q86	2	白色	绿色	蓝色		2级灵石是什么颜色的？		
88	q87	2	一定	不一定			初级灵石一定是白色的吗？		
89	q88	1	灵石tip里面查看	装备上查看	可任意镶嵌		灵石镶嵌位置在哪里查看？		
90	q89	1	可以	不可以			装备上的灵石可以剥离吗？		
91	q90	1	学习不同的生活技能配方	制作装备道具	野外打怪		生活技能升级需要的经验怎么获得？		
92	q91	4	绑定材料+绑定活力	不绑定材料+绑定活力	绑定材料+不绑定活力	不绑定材料+不绑定活力	以下哪种方法可以制作不绑定的生活技能成品？		
93	q92	1	公共类到达一定等级自动习得	学习对应的配方	角色到达一定等级自动习得		公共类的配方怎么获得？		
94	q93	1	工艺制造	首饰制造	公共制造	武器制造	以下哪类生活技能可以制造药箱？		
95	q94	2	2	5	8		生活技能包含几个分支？		
96	q95	2	从别的玩家那里购买	杂货铺购买	从交易中心购买	野外打怪掉落	以下哪种不是获得生活技能材料的方法？		
97	q96	1	跑得快	跑得慢	可以飞		骑上马了，有什么好处		
98	q97	1	不可以	可以	有些门派可以		骑马的时候可以战斗吗？		
99	q98	1	提高生命最大值	提高内力最大值	提升跑速		“体质”提高了，有什么效果？		
100	q99	1	提高内力最大值和内功攻击力	提升攻击速度	提升跑速		“元气”提高了，有什么效果？		
101	q100	1	提高外功攻击力	提高生命最大值	提高内力最大值		“力量”提高了，有什么效果？		
102	q101	1	提高命中、闪避和会心几率	提高生命最大值	提高内力最大值		“身法”提高了，有什么效果？		
103	q102	1	可以释放怒气技能	脸会变红			怒气值涨满了，有什么用？		
104	q103	1	不能	可以			怒气技能可以用来PK吗？		
105	q104	2	桃花岛	天策	昆仑		以下哪个门派不是《逍遥江湖》里的		
106	q105	2	内功系	外功系			昆仑派是内功系还是外功系？		
107	q106	2	内功系	外功系			逍遥派是内功系还是外功系？		
108	q107	2	外功系	内功系			少林派是内功系还是外功系？		
109	q108	2	内功系	外功系			天王帮是内功系还是外功系？		
110	q109	2	内功系	外功系			华山派是内功系还是外功系？		
111	q110	2	内功系	外功系			唐门是内功系还是外功系？		
112	q111	2	内功系	外功系			桃花岛是内功系还是外功系？		
113	q112	2	外功系	内功系			武当派是内功系还是外功系？		
114	q113	2	外功系	内功系			峨嵋派是内功系还是外功系？		
115	q114	2	外功系	内功系			丐帮是内功系还是外功系？		
116	q115	4	打开活动日历查看	打开每日目标查看（需要角色等级40级以上）	找其他玩家寻问	发呆	以下哪种行为不能帮我找到可以参加的活动？		
117	q116	4	每7天领取5000绑金	每天可以4折价格购买5个活力药水	每天可以领取2个祝福之羽+半小时4倍修炼+2个福袋	杀死其他玩家没有惩罚	以下哪种不是认证玩家的福利？		
118	q117	1	在购买武林英雄贴对自己使用	让其他玩家对自己使用武林英雄贴	去官方论坛认证		以下哪种是成为游戏内认证玩家的正确方式？		
119	q118	1	被天下掉下来的石头砸死	出现夺宝贼	挖出宝箱	掉进藏宝地宫	以下哪个不是藏宝图挖宝时会遇到的事件?		
120	q119	3	去交易中心卖物品	开福袋	找其他玩家要		以下哪种不是获得绑定金币的方法？		
121	q120	1	找其他玩家购买	在珍宝阁购买活力药水并使用	参加答题活动获得	完成每日目标随机获得	以下哪种不是获得活力和绑定活力的途径？		
122	q121	1	在杂货店购买	认证玩家每天领取	找其他玩家购买	完成每日目标随机获得	以下哪种不是祝福之羽的获得途径？		
123	q122	1	当然，这样效率更高	不可以			惩恶任务可以和4倍经验修炼一起完成吗？		
124	q123	4	加入家族之后容易认识更多朋友	可以参加每日家族种植活动	可以参加每周一、周四晚上的家族秘境挑战	加入家族才能组队	以下哪种不是加入家族的好处？		
125	q124	4	参加每周二、周六晚上的门派竞技，和同门高手过招	上官方论坛查看其它玩家总结的门派经验	跟同门好友交流门派经验	缠着门派掌门问	以下哪种不是快速提升自己对所在门派了解的方法？		
126	q125	1	卖给交易中心换绑定金币	扔掉	卖给杂货店	送给其他玩家	获得了自己用不着的绑定生活技能材料应该怎么处理？		
127	q126	1	可以，点击自己的角色头像随时可以更换	不可以			进入游戏后还可以换角色头像吗？		
128	q127	1	在秘境里喝了多少瓶酒	秘境通关时间的长短	在秘境里杀死的怪物数量和种类	一起参加秘境挑战的队友之间的关系（好友、同家族）	秘境评价等级跟以下哪个条件无关？		
129	q128	1	火堆	火炉			哪种篝火喝酒之后获得的经验会增加？		
130	q129	1	无效，只有野外地图的怪有效	有效			秘境里的怪物4倍修炼经验有效吗？		
131	q130	2	一定能，五行相克嘛	不一定，只是有一定的优势，还需要看等级、装备和操作技巧			金系的门派一定能打过克制的木系门派吗？		
132	q131	1	不可以，只能用金币	可以			拍卖行里的物品可以用银两标价吗？		
133	q132	1	16小时	12小时	8小时	24小时	每天最多获得多少小时的离线修炼经验？		
134	q133	1	使用神行石	使用回城石	在队伍聊天频道大喊一声“拉我”		我想快速去野外地图的队友身边应该怎么办？		
135	q134	1	同类型的灵石在同一件装备上只能镶嵌一个	这个灵石是独一无二的			灵石上的“唯一”属性代表什么意思？		
136	q135	4	白色	绿色	蓝色	紫色	以下颜色的道具，哪种最高级？		
137	q136	1	上午10：00到凌晨1:00之间每3时随机出现一次	任何时候都有可能出现	只在晚上出现		首领怪每天什么时候出现？		
138	q137	1	武林英雄贴	灵石碎片	水晶	生活技能材料	以下哪种道具不是杀死首领怪获得的？		
139	q138	1	提升装备强化成功率	提升秘境评价奖励中获得高级奖励的概率	提升藏宝图挖宝时出现地宫的概率		以下哪种不是幸运的作用？		
140	q139	1	点击主界面最上方功能条上的祈福按钮	在各大城市礼官处对话打开	从主角界面里打开		祈福界面从哪里打开？		
141	q140	4	可以和同门切磋增强对门派的了解	可以获得门派贡献购买秘籍和生活技能配方	得到冠军之后可以获得“门派新人王”的称号	可以成为门派掌门人	以下哪项不是参加门派竞技的好处？		
142	q141	1	杀死野外精英怪之后有一定概率出现	每天固定时间出现	在野外地图重伤其他玩家后出现		奇遇秘境怎么才会出现？		
